ID,Name,Specialty,Country,City,Phone,Website,Address,Rating,ReviewCount,Clicks,Promoted,Verified,Source
b5aae1a3-a74b-4077-899d-98615ed252f5,East El Paso Dentist,dentist,US,El Paso,+1 915-621-5003,https://eastelpasodentist.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"14240 Edgemere Blvd Suite 105, El Paso, TX 79938, USA",4.9,2486,0,false,false,google
cdc9a96f-1b05-420f-afbe-1d53b1dfb4f8,Aventura Dental,dentist,US,El Paso,+1 915-591-9999,http://www.aventuradentalelpaso.com/,"2200 N Yarbrough Dr suite n, El Paso, TX 79925, USA",4.9,1457,0,false,false,google
0dd1f473-9cb7-4282-9848-f0526eb0e1da,Valley Dental Care,dentist,US,El Paso,+1 915-598-7100,https://valleydentalcareep.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"7505 N Loop Dr, El Paso, TX 79915, USA",4.9,3789,0,false,false,google
7d2146c3-8061-4d5d-9a9a-a172780137d9,Dyer Dental Care,dentist,US,El Paso,+1 915-320-9733,https://dyerdentalcareep.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"3932 Fort Blvd, El Paso, TX 79930, USA",4.9,1300,0,false,false,google
2783dd4b-b070-472b-9f27-e77ff0915540,Agave Dental Care,dentist,US,El Paso,+1 915-285-1600,https://www.agavedentalcarenortheast.com/,"8815 Dyer St # 210, El Paso, TX 79904, USA",4.9,2678,0,false,false,google
3a1a3acc-31e2-438f-9d19-77830d9e9a1e,Smile Straight Orthodontics - Zaragoza,orthodontist,US,El Paso,+1 915-857-9700,https://epsmiles.com/zaragoza-office?utm_source=google&utm_medium=organic&utm_campaign=profile+zaragoza,"1502 N Zaragoza Rd B, El Paso, TX 79936, USA",4.9,1030,0,false,false,google
db8a8b37-af2e-4c56-83b0-f5cb7c243ef9,JT Orthodontics,orthodontist,US,El Paso,+1 915-581-5476,https://jtorthodontics.com/?utm_source=gbp&utm_medium=organic&utm_campaign=west,"5551 N Mesa St suite a, El Paso, TX 79912, USA",4.9,646,0,false,false,google
cb068fde-b28c-4450-83d1-ad17a0186036,SmileLife Orthodontics,orthodontist,US,El Paso,+1 915-849-9400,https://smilelifebraces.com/,"1971 N Zaragoza Rd A, El Paso, TX 79938, USA",4.9,925,0,false,false,google
9e39c400-5b2a-4a16-8c92-21309c5f570d,El Paso Family Orthodontics,orthodontist,US,El Paso,+1 915-307-9688,https://epfamilyorthodontics.com/,"5925 Cromo Dr, El Paso, TX 79912, USA",4.8,160,0,false,false,google
9c5ef4c2-1982-4faf-832c-3d71d8e07e27,JT Orthodontics: East El Paso Location,orthodontist,US,El Paso,+1 915-855-6616,https://jtorthodontics.com/?utm_source=gbp&utm_medium=organic&utm_campaign=east,"3030 Trawood Dr, El Paso, TX 79936, USA",4.9,591,0,false,false,google
